snapshot_date,file_path,linus_lines,total_lines
07-02-2026,arch/arm/mach-clps711x/common.h,11,11
07-02-2026,arch/arm/mach-clps711x/dma.c,27,27
07-02-2026,arch/arm/mach-clps711x/edb7211-arch.c,61,61
07-02-2026,arch/arm/mach-clps711x/edb7211-mm.c,70,70
07-02-2026,arch/arm/mach-clps711x/fortunet.c,85,85
07-02-2026,arch/arm/mach-clps711x/irq.c,143,143
07-02-2026,arch/arm/mach-clps711x/mm.c,43,43
07-02-2026,arch/arm/mach-clps711x/p720t-leds.c,67,67
07-02-2026,arch/arm/mach-clps711x/p720t.c,115,115
07-02-2026,arch/arm/mach-clps711x/time.c,85,85
07-02-2026,arch/arm/mach-clps7500/Makefile,11,11
07-02-2026,arch/arm/mach-clps7500/Makefile.boot,2,2
07-02-2026,arch/arm/mach-clps7500/core.c,374,374
07-02-2026,arch/arm/mach-ebsa110/Makefile,12,12
07-02-2026,arch/arm/mach-ebsa110/Makefile.boot,4,4
07-02-2026,arch/arm/mach-ebsa110/core.c,245,245
07-02-2026,arch/arm/mach-ebsa110/io.c,378,378
07-02-2026,arch/arm/mach-ebsa110/leds.c,51,51
07-02-2026,arch/arm/mach-epxa10db/Kconfig,23,23
07-02-2026,arch/arm/mach-epxa10db/Makefile,11,11
07-02-2026,arch/arm/mach-epxa10db/Makefile.boot,2,2
07-02-2026,arch/arm/mach-epxa10db/arch.c,72,72
07-02-2026,arch/arm/mach-epxa10db/dma.c,28,28
07-02-2026,arch/arm/mach-epxa10db/irq.c,82,82
07-02-2026,arch/arm/mach-epxa10db/mm.c,45,45
07-02-2026,arch/arm/mach-epxa10db/time.c,78,78
07-02-2026,arch/arm/mach-footbridge/Kconfig,80,92
07-02-2026,arch/arm/mach-footbridge/Makefile,30,30
07-02-2026,arch/arm/mach-footbridge/Makefile.boot,4,4
07-02-2026,arch/arm/mach-footbridge/cats-hw.c,95,95
07-02-2026,arch/arm/mach-footbridge/cats-pci.c,55,55
07-02-2026,arch/arm/mach-footbridge/co285.c,38,38
07-02-2026,arch/arm/mach-footbridge/common.c,205,205
07-02-2026,arch/arm/mach-footbridge/common.h,9,9
07-02-2026,arch/arm/mach-footbridge/dc21285-timer.c,66,68
07-02-2026,arch/arm/mach-footbridge/dc21285.c,384,384
07-02-2026,arch/arm/mach-footbridge/dma.c,54,54
07-02-2026,arch/arm/mach-footbridge/ebsa285-leds.c,140,140
07-02-2026,arch/arm/mach-footbridge/ebsa285-pci.c,48,48
07-02-2026,arch/arm/mach-footbridge/ebsa285.c,24,24
07-02-2026,arch/arm/mach-footbridge/isa-irq.c,168,168
07-02-2026,arch/arm/mach-footbridge/isa-timer.c,94,94
07-02-2026,arch/arm/mach-footbridge/isa.c,48,48
07-02-2026,arch/arm/mach-footbridge/netwinder-hw.c,660,660
07-02-2026,arch/arm/mach-footbridge/netwinder-leds.c,141,141
07-02-2026,arch/arm/mach-footbridge/netwinder-pci.c,62,62
07-02-2026,arch/arm/mach-footbridge/personal-pci.c,56,56
07-02-2026,arch/arm/mach-footbridge/personal.c,23,23
07-02-2026,arch/arm/mach-footbridge/time.c,180,180
