snapshot_date,file_path,linus_lines,total_lines
28-01-2018,arch/alpha/lib/ev6-copy_user.S,176,227
28-01-2018,arch/alpha/lib/ev6-csum_ipv6_magic.S,117,153
28-01-2018,arch/alpha/lib/ev6-divide.S,259,263
28-01-2018,arch/alpha/lib/ev6-memchr.S,189,193
28-01-2018,arch/alpha/lib/ev6-memcpy.S,247,250
28-01-2018,arch/alpha/lib/ev6-memset.S,586,605
28-01-2018,arch/alpha/lib/ev6-stxcpy.S,321,322
28-01-2018,arch/alpha/lib/ev6-stxncpy.S,390,398
28-01-2018,arch/alpha/lib/ev67-strcat.S,53,56
28-01-2018,arch/alpha/lib/ev67-strchr.S,87,90
28-01-2018,arch/alpha/lib/ev67-strlen.S,48,51
28-01-2018,arch/alpha/lib/ev67-strncat.S,93,96
28-01-2018,arch/alpha/lib/ev67-strrchr.S,107,111
28-01-2018,arch/alpha/lib/fpreg.c,189,201
28-01-2018,arch/alpha/lib/memchr.S,163,165
28-01-2018,arch/alpha/lib/memcpy.c,160,163
28-01-2018,arch/alpha/lib/memmove.S,180,183
28-01-2018,arch/alpha/lib/memset.S,114,133
28-01-2018,arch/alpha/lib/srm_printk.c,41,42
28-01-2018,arch/alpha/lib/srm_puts.c,23,24
28-01-2018,arch/alpha/lib/stacktrace.c,102,103
28-01-2018,arch/alpha/lib/strcat.S,52,55
28-01-2018,arch/alpha/lib/strchr.S,69,72
28-01-2018,arch/alpha/lib/strcpy.S,22,25
28-01-2018,arch/alpha/lib/strlen.S,56,59
28-01-2018,arch/alpha/lib/strncat.S,83,86
28-01-2018,arch/alpha/lib/strncpy.S,75,83
28-01-2018,arch/alpha/lib/strrchr.S,85,89
28-01-2018,arch/alpha/lib/stxcpy.S,289,290
28-01-2018,arch/alpha/lib/stxncpy.S,338,346
28-01-2018,arch/alpha/lib/udelay.c,54,56
28-01-2018,arch/alpha/math-emu/Makefile,8,9
28-01-2018,arch/alpha/math-emu/math.c,399,402
